CustomerID,Age,TotalSpend,AccountLength,CallsToService,EmailsToService,SMSsToService,PostsToSocialMedia,LastContactMethod
62,23,1315.3764803155,3,9,4,3,0,SocialMedia
63,56,327.4901085469247,13,7,4,3,0,SMS
64,58,961.7833899973818,1,6,9,4,2,Email
65,35,273.3479759892181,9,6,8,2,3,SMS
66,33,1287.211521051128,3,2,1,1,2,Email
67,22,1230.2465422150149,14,3,5,0,0,Phone
68,59,896.7410340604306,8,6,7,4,4,SocialMedia
69,60,670.0566161163995,9,0,0,1,0,Phone
70,49,196.83379363719325,5,8,1,3,3,Email
71,19,1076.4002824023892,5,0,3,0,3,Email
72,19,734.9597557492964,13,7,9,3,1,Phone
73,57,1110.8778392584873,2,6,2,2,4,Email
74,59,1312.935256300081,8,5,8,1,2,Email
75,53,1465.73010700404,7,9,2,0,4,SMS
76,56,1298.1246793496555,10,6,4,0,1,Phone
77,29,116.39971785900276,5,5,8,3,0,SMS
78,64,603.9692902697095,2,2,2,4,3,Phone
79,36,1121.9867873936812,6,7,9,1,0,SMS
80,45,340.2815481660167,10,1,8,0,0,SocialMedia
81,18,829.451248685781,8,9,7,0,1,Email
82,32,176.0731836749551,12,2,8,2,2,Email
83,53,379.9951348549601,14,2,2,1,0,Phone
84,30,125.93051224485956,2,5,3,1,3,Phone
85,60,1211.176784700389,4,6,3,0,3,Phone
86,38,413.4945632845322,6,4,6,1,2,SMS
87,29,583.4923529756638,8,2,0,1,2,Phone
88,22,1399.3138108518272,4,2,3,0,1,Email
89,24,1086.180162692946,7,1,6,0,4,Phone
90,22,144.574501343831,7,0,3,3,3,Email
91,65,330.5718190970779,8,9,9,3,0,SMS
92,21,970.0697620996689,10,0,6,3,1,Email
93,30,908.1200240458346,2,2,3,3,2,SocialMedia
94,54,433.04994992431205,10,8,2,1,0,Email
95,58,1407.8995970947112,7,3,2,2,4,SocialMedia
96,32,959.5523383522544,1,0,2,0,2,SMS
97,33,849.8859242349416,4,8,6,0,4,Email
98,38,925.8739668963993,9,8,4,4,4,SMS
99,53,1122.1708413234774,5,1,6,2,3,SMS
100,41,536.7229936714426,2,0,0,2,3,SocialMedia
101,33,657.5094871025286,5,5,4,0,4,SMS
102,31,393.781248565171,6,8,9,2,3,Email
103,39,360.6702082324706,1,2,2,4,2,SocialMedia
104,66,1422.121345977507,4,3,1,1,4,SMS
105,67,1135.3711130690026,11,5,6,3,4,Phone
106,23,786.6423320645939,2,3,1,4,1,SocialMedia
107,59,418.38047916265253,5,8,7,3,1,Email
108,53,456.0990744785501,5,6,5,0,1,Email
109,18,181.24082445342586,5,4,6,1,1,Phone
110,49,708.183275781369,1,6,1,4,0,SocialMedia
111,23,536.5142347917435,1,3,6,2,1,Phone
112,48,1074.8808843416432,11,6,6,1,2,SocialMedia
113,18,628.8525750094733,14,2,6,4,0,SocialMedia
114,67,351.44514858348873,9,6,6,1,2,Phone
115,68,134.5502197478637,12,5,2,0,1,Phone
116,54,194.149484048548,12,5,5,2,4,SocialMedia
117,52,1051.1498828979943,5,9,2,3,0,SMS
118,66,735.1755823784634,7,4,2,3,4,SocialMedia
119,47,851.2108955522111,10,6,3,3,2,Email
120,21,1355.339810256479,13,5,2,4,2,Email
121,52,1486.4745263553862,12,1,9,1,0,Phone
122,60,403.6557781578635,4,3,3,2,2,SocialMedia
123,31,1028.3094843401411,4,3,8,2,0,SMS
124,66,468.6513274320109,13,8,5,4,2,SMS
125,57,128.91139925202015,3,9,4,2,4,Phone
126,39,1161.730115370598,2,5,5,2,3,Phone
127,27,548.0240111514549,11,5,1,1,1,Phone
128,18,636.8494518406571,3,6,5,1,1,Phone
129,28,923.643958975048,2,0,8,1,3,SMS
130,68,1263.4678373306665,12,9,2,4,3,Email
131,61,980.5745810276082,4,7,9,4,0,SMS
132,41,1321.7109176263534,13,5,9,4,2,Email
133,20,482.95884874189005,5,1,5,2,4,Email
134,52,1217.2655674775892,11,5,6,3,1,Email
135,53,359.89032202833306,2,6,4,2,3,SMS
136,48,1433.9083197607224,2,6,0,1,3,SocialMedia
137,21,1062.4835869429414,1,8,8,3,3,Phone
138,36,401.7107479589818,8,7,5,0,2,Phone
139,64,1426.3188266844938,9,5,5,3,4,SocialMedia
140,53,1123.1981294782208,11,3,5,1,3,SMS
141,38,455.5182996330362,5,2,1,1,4,SMS
142,35,398.63676831447475,4,9,0,1,1,SocialMedia
143,68,825.4809995029285,6,9,0,1,0,Email
144,45,135.9278052763442,7,3,0,0,0,SMS
145,32,390.45810561755314,4,2,0,3,1,Email
146,59,694.5596562521088,3,5,0,0,0,SMS
147,19,623.8379724679157,10,4,7,2,3,SocialMedia
148,54,749.0055941107349,9,1,6,3,2,Phone
149,28,488.6801888126247,13,5,3,2,0,Phone
150,40,921.4980850414363,2,8,5,2,1,Phone
